a7,code,person_need,person_know,person_job,person_edu,edu,job1,edu_knows,job_knows,edu_knows_orig,job_knows_orig,L_knows,L_knows_norm
202.0,2022.0,,,,,2.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
202.0,2025.0,,,,,2.0,17.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
202.0,2026.0,,,,,3.0,23.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
202.0,2027.0,,,,,3.0,14.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
202.0,2028.0,,,,,3.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
202.0,2029.0,,,,,3.0,15.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
203.0,2031.0,,,,,2.0,17.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
203.0,2032.0,,,,,3.0,17.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
203.0,2034.0,,,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
203.0,2035.0,,,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
203.0,2036.0,,,,,4.0,27.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
203.0,2038.0,,,,,2.0,11.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
203.0,2039.0,,,,,3.0,27.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
204.0,2041.0,2.0,1.0,21.0,2.0,3.0,21.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
204.0,2042.0,3.0,1.0,4.0,2.0,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
204.0,2043.0,,1.0,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
204.0,2044.0,3.0,1.0,9.0,3.0,3.0,23.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
204.0,2045.0,2.0,1.0,0.0,2.0,2.0,0.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
204.0,2047.0,3.0,1.0,6.0,3.0,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
204.0,2049.0,3.0,1.0,14.0,2.0,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
205.0,2051.0,3.0,1.0,24.0,3.0,3.0,7.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
205.0,2056.0,2.0,1.0,10.0,2.0,3.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
205.0,2057.0,2.0,1.0,4.0,2.0,4.0,14.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
205.0,2059.0,2.0,1.0,15.0,3.0,3.0,15.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
206.0,2061.0,3.0,1.0,4.0,2.0,3.0,,-0.71551174,,0.0,,0.19648926,0.41545796
206.0,2062.0,3.0,1.0,9.0,3.0,3.0,9.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
206.0,2063.0,2.0,1.0,4.0,2.0,2.0,0.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
