y3,y7,tribe,born_kga,move_kga,inc_mo,inc_wk,possessions,y9,y10,read3,read4,read6,read7,red_poor,red_if,tax_who1,tax_who2,tax_who3,tax_who4,tax_who5,tax_who6,tax_who7,trust4,trust5,trust6,corr14_end,b1,b2,gov2_end,position,connection,colcode,math1,math2,math3,math4,extern4,_merge,female,age,age2,main_tribe,years_kga,educ_lvl,educ_yrs,c11,c12,c13,c14,maths_score,revread3,revread4,literacy_tsh,revread6,revread7,literacy_fr,possessions_nb,revtax_who1,revtax_who3,revtax_who6,index_taxwho,red_ngo,red_state,revred_if,red_prog,index_redistribution,revtrust4,revtrust5,revtrust6,index_trust,state_cap1,gov_resp,revcorr14_end,gov1_end,index_prov_gov,revb2,revb1,b3,index_morale,intrin1,intrin2,intrin3,index_intrinsic,extern1,extern2,extern3,index_extrinsic,job_heard_connection,fam_dgrkoc,fam_gov,index_connection,intrinsic_minus_extrinsic
1.0,29.0,LULUWA,0.0,2009.0,39.39393939393939,10.303030303030303,3,4.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,0.6,4.0,2,21.0,,,,,,1,0.0,29.0,841.0,1.0,9.0,4.0,20.0,1.0,0.0,0.0,1.0,-1.4259772,2.0,2.0,-1.3115042,3.0,3.0,-0.47914892,1.0,4.0,4.0,4.0,1.4247779,3.0,3.0,2.0,2.0,0.023904312,1.0,1.0,3.0,-1.5574862,1.0,1.0,4.0,0.4,-0.2227102,4.0,3.0,0.0,0.091019616,,,,,,,,,0.0,0.0,0.0,-0.88890743,
2.0,30.0,LUALUA,0.0,2008.0,290.90909090909093,24.242424242424242,3,3.0,6.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,7.0,2.0,1.0,0.9,4.0,4,22.0,,,,,3.0,3,1.0,30.0,900.0,0.0,10.0,3.0,15.0,1.0,1.0,1.0,1.0,1.0570327,4.0,3.0,0.56433606,3.0,2.0,-1.0684861,1.0,4.0,4.0,2.0,0.3259718,3.0,3.0,1.0,2.0,-0.7282881,3.0,3.0,3.0,-0.09507048,1.0,1.0,1.0,0.1,-1.5722474,4.0,2.0,,-0.42399675,3.0,3.0,3.0,-0.50293213,3.0,2.0,2.0,-0.10571505,0.0,0.0,1.0,0.30434754,-0.33948156
1.0,39.0,LULUWA,0.0,1990.0,54.54545454545455,9.090909090909092,4 5,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,0.2,1.0,2,23.0,,,,,,1,0.0,39.0,1521.0,1.0,28.0,4.0,18.0,1.0,1.0,1.0,1.0,1.0570327,3.0,3.0,-0.05997383,3.0,2.0,-1.0684861,2.0,3.0,3.0,3.0,-0.3730008,5.0,5.0,2.0,2.0,2.0042615,3.0,3.0,3.0,-0.09507048,0.0,3.0,4.0,0.8,0.36164442,3.0,2.0,0.0,-1.6232667,,,,,,,,,1.0,0.0,0.0,0.14494167,
1.0,38.0,KETE,0.0,2012.0,54.54545454545455,12.727272727272727,3,4.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.25,4.0,9999,25.0,,,,,,1,0.0,38.0,1444.0,0.0,6.0,4.0,18.0,1.0,1.0,0.0,1.0,0.046917908,3.0,3.0,-0.05997383,4.0,3.0,0.16854718,1.0,3.0,3.0,4.0,0.17640227,5.0,2.0,1.0,1.0,-1.3162109,4.0,4.0,4.0,1.1039371,1.0,2.0,6.0,0.75,1.3039876,4.0,3.0,1.0,1.0687182,,,,,,,,,0.0,0.0,0.0,-0.88890743,
1.0,24.0,LUALUA,1.0,,78.78787878787878,21.21212121212121,1 3,4.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,0.2,1.0,7,26.0,,,,,,1,0.0,24.0,576.0,0.0,,4.0,20.0,1.0,1.0,1.0,1.0,1.0570327,4.0,4.0,1.1915566,4.0,4.0,0.75788444,2.0,4.0,4.0,4.0,1.4247779,4.0,3.0,1.0,2.0,-0.25574958,1.0,3.0,3.0,-0.8009874,1.0,1.0,5.0,0.8,0.6227294,4.0,3.0,0.0,0.091019616,,,,,,,,,1.0,0.0,0.0,0.14494167,
1.0,23.0,LUALUA,1.0,,54.54545454545455,18.181818181818183,3,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,4.0,other,27.0,,,,,5.0,3,0.0,23.0,529.0,0.0,,3.0,11.0,1.0,1.0,1.0,1.0,1.0570327,3.0,3.0,-0.05997383,3.0,3.0,-0.47914892,1.0,3.0,3.0,3.0,-0.3730008,3.0,3.0,1.0,1.0,-1.7436479,1.0,4.0,4.0,0.045061793,1.0,2.0,4.0,1.0,0.99768704,4.0,3.0,1.0,1.0687182,4.0,3.0,5.0,0.70070684,1.0,3.0,4.0,0.012298987,0.0,1.0,1.0,1.5169584,0.5883477
2.0,24.0,LUALUA,1.0,,90.9090909090909,9.090909090909092,3 6,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,0.5,2.0,2,28.0,,,,,,1,1.0,24.0,576.0,0.0,,3.0,11.0,1.0,1.0,0.0,0.0,-1.0864509,2.0,2.0,-1.3115042,2.0,2.0,-1.7161822,2.0,3.0,2.0,3.0,-0.8839262,3.0,3.0,3.0,2.0,0.77609664,2.0,2.0,2.0,-1.2940782,1.0,2.0,4.0,0.5,0.33836383,4.0,2.0,1.0,0.16262238,,,,,,,,,1.0,0.0,0.0,0.14494167,
1.0,28.0,LUALUA,0.0,1992.0,57.57575757575758,20.0,3,4.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,3.0,4.0,1.0,1.0,0.8,1.0,other,29.0,,,,,,1,0.0,28.0,784.0,0.0,26.0,4.0,20.0,1.0,1.0,1.0,1.0,1.0570327,4.0,4.0,1.1915566,4.0,4.0,0.75788444,1.0,4.0,3.0,4.0,0.9138526,3.0,5.0,1.0,2.0,0.30699193,1.0,2.0,2.0,-1.6470366,0.0,1.0,4.0,0.2,-1.2879623,4.0,3.0,1.0,1.0687182,,,,,,,,,1.0,1.0,0.0,1.3575524,
1.0,34.0,LUALUA,1.0,,105.45454545454545,30.303030303030305,3 6,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,9999,30.0,,,,,4.0,3,0.0,34.0,1156.0,0.0,,4.0,16.0,1.0,1.0,0.0,1.0,0.046917908,3.0,3.0,-0.05997383,3.0,3.0,-0.47914892,2.0,4.0,3.0,4.0,0.9138526,5.0,3.0,3.0,2.0,1.7211735,3.0,3.0,3.0,-0.09507048,0.0,1.0,4.0,1.0,-0.23304525,4.0,3.0,1.0,1.0687182,2.0,4.0,3.0,-0.6190778,4.0,4.0,4.0,1.9107761,0.0,0.0,0.0,-0.88890743,-2.1621394
1.0,35.0,MONGO,0.0,2014.0,60.60606060606061,6.363636363636363,0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.7,1.0,2,31.0,,,,,,1,0.0,35.0,1225.0,0.0,4.0,3.0,11.0,1.0,1.0,0.0,1.0,0.046917908,3.0,3.0,-0.05997383,4.0,4.0,0.75788444,0.0,3.0,3.0,3.0,-0.3730008,5.0,4.0,1.0,2.0,0.73442894,4.0,4.0,4.0,1.1039371,0.0,2.0,4.0,0.3,-0.7268882,4.0,3.0,0.0,0.091019616,,,,,,,,,1.0,0.0,1.0,1.3381968,
