a7,rouge,geo_stratum,jontax,stratum_jon,commune,joncomp2016,chef_collect_types,chef_collect_ever,salongo_freq,chef_collect_proptax_ever,appoint_yr,chef_stratum,chef_collect_stratum,stratum,stratum_count,treatment,rand1,rank1,count1,numtoselect1_control,probleft2_control,rand2,probleft3_control,numtoselect1_central,probleft2_central,probleft3_central,numtoselect1_local,probleft2_local,probleft3_local,numtoselect1_centralwinfo,probleft2_centralwinfo,numtoselect1_centralxlocal,probleft2_centralxlocal,probleft3_centralwinfo,rand3,order_treatment
564.0,0.0,7.0,0.0,8.0,5.0,1.0,0.0,0.0,3.5,0.7307692307692307,2014.3333333333333,,1.0,18.0,15.0,1.0,0.2495157292139073,1.0,15.0,0.2106741573033705,0.2106741573033705,0.2495157292139073,,4.700854700854701,0.700854700854701,,,,,,,,,,0.7450357295737356,80.0
546.0,0.0,7.0,0.0,7.0,5.0,1.0,0.5,0.5,3.0,0.5,2007.5,1.0,1.0,18.0,15.0,1.0,0.44416034408340177,4.0,15.0,0.2106741573033705,0.2106741573033705,0.44416034408340177,,4.700854700854701,0.700854700854701,,,,,,,,,,0.8724138838868191,98.0
542.0,0.0,6.0,1.0,8.0,5.0,2.0,0.6,0.6,3.0,1.0,2007.0,2.0,2.0,17.0,9.0,1.0,0.09837792711116633,1.0,9.0,0.1264044943820223,0.1264044943820223,0.09837792711116633,,2.8205128205128207,0.8205128205128207,,,,,,,,,,0.9239729519128103,106.0
537.0,0.0,6.0,1.0,9.0,5.0,1.0,0.16666666666666666,0.16666666666666666,3.1666666666666665,1.0,2003.0,1.0,2.0,17.0,9.0,1.0,0.21605519746704693,2.0,9.0,0.1264044943820223,0.1264044943820223,0.21605519746704693,,2.8205128205128207,0.8205128205128207,,,,,,,,,,0.2983440297569081,29.0
535.0,0.0,6.0,1.0,7.0,5.0,1.0,0.3333333333333333,0.3333333333333333,3.0,0.6666666666666666,2012.6666666666667,2.0,1.0,16.0,10.0,1.0,0.36028180255851894,3.0,10.0,0.140449438202247,0.140449438202247,0.36028180255851894,,3.133903133903134,0.13390313390313402,,,,,,,,,,0.5240261689803148,57.0
533.0,0.0,6.0,1.0,9.0,5.0,1.0,0.5,0.5,4.0,0.0,2007.5,2.0,1.0,16.0,10.0,1.0,0.051649632060044026,1.0,10.0,0.140449438202247,0.140449438202247,0.051649632060044026,,3.133903133903134,0.13390313390313402,,,,,,,,,,0.06848934065166057,10.0
527.0,0.0,6.0,1.0,7.0,5.0,2.0,0.0,0.0,4.0,0.0,2014.0,2.0,1.0,16.0,10.0,1.0,0.1552101900323598,2.0,10.0,0.140449438202247,0.140449438202247,0.1552101900323598,,3.133903133903134,0.13390313390313402,,,,,,,,,,0.9117919526711803,101.0
541.0,0.0,6.0,0.0,9.0,5.0,1.0,0.3333333333333333,0.3333333333333333,3.1666666666666665,1.0,2005.6666666666667,1.0,1.0,15.0,11.0,1.0,0.07402507091128407,1.0,11.0,0.1544943820224717,0.1544943820224717,0.07402507091128407,,3.4472934472934478,0.4472934472934478,,,,,,,,,,0.7605471502940436,83.0
518.0,0.0,6.0,0.0,9.0,5.0,1.0,0.3333333333333333,0.3333333333333333,5.5,1.0,2005.6666666666667,,1.0,15.0,11.0,1.0,0.17807818679739162,3.0,11.0,0.1544943820224717,0.1544943820224717,0.17807818679739162,,3.4472934472934478,0.4472934472934478,,,,,,,,,,0.09186619198490098,13.0
517.0,0.0,6.0,0.0,6.0,5.0,1.0,0.5,0.5,3.6666666666666665,1.0,2009.6666666666667,,1.0,15.0,11.0,1.0,0.14958022840429563,2.0,11.0,0.1544943820224717,0.1544943820224717,0.14958022840429563,,3.4472934472934478,0.4472934472934478,,,,,,,,,,0.051197627662637246,8.0
508.0,0.0,5.0,1.0,6.0,5.0,2.0,0.16666666666666666,0.16666666666666666,3.0,1.0,2006.5,1.0,1.0,14.0,16.0,1.0,0.04939926182934007,2.0,16.0,0.2247191011235952,0.2247191011235952,0.04939926182934007,,5.014245014245015,0.014245014245014787,,,,,,,,,,0.7414872033621153,79.0
504.0,0.0,5.0,1.0,5.0,5.0,2.0,0.25,0.25,4.25,1.0,1997.75,2.0,1.0,14.0,16.0,1.0,0.1824752327118867,3.0,16.0,0.2247191011235952,0.2247191011235952,0.1824752327118867,,5.014245014245015,0.014245014245014787,,,,,,,,,,0.6134416739355913,64.0
353.0,0.0,5.0,1.0,32.0,3.0,2.0,0.0,0.0,3.3333333333333335,0.8809523809523808,2008.6666666666667,1.0,1.0,14.0,16.0,1.0,0.3846801551211364,5.0,16.0,0.2247191011235952,0.2247191011235952,0.3846801551211364,,5.014245014245015,0.014245014245014787,,,,,,,,,,0.8548450524078147,93.0
352.0,0.0,5.0,1.0,13.0,3.0,1.0,0.16666666666666666,0.16666666666666666,3.6666666666666665,1.0,2008.8333333333333,1.0,1.0,14.0,16.0,1.0,0.2974891387805375,4.0,16.0,0.2247191011235952,0.2247191011235952,0.2974891387805375,,5.014245014245015,0.014245014245014787,,,,,,,,,,0.37835413512593774,35.0
