a7,name_knows,edu_knows,job_knows,L_knows,L_knows_norm
321.0,-0.21517456,-0.3633802,-0.06850876,-0.3084886,0.24870715
322.0,0.12053248,-0.53944594,-0.06850876,-0.21060492,0.28102973
323.0,-0.88658863,-0.1873144,-0.22021286,-0.60822296,0.14973064
324.0,-0.3830281,0.34088293,-0.06850876,-0.04186724,0.3367493
325.0,-0.047321036,0.34088293,0.26524025,0.19264509,0.4141886
326.0,-0.047321036,0.16481715,1.043988,0.5537393,0.533427
327.0,0.288386,0.16481715,0.26524025,0.3214434,0.4567196
328.0,-0.047321036,0.24484704,-0.22021286,-0.0117947245,0.34667966
329.0,0.45623952,-0.011248629,-0.06850876,0.17948844,0.40984407
330.0,0.45623952,-0.011248629,-0.34663293,0.10197823,0.3842491
331.0,1.1276536,-0.3633802,0.30232346,0.50850177,0.51848894
332.0,-0.7187351,-0.3633802,-0.25392488,-0.6369593,0.14024147
333.0,0.12053248,-0.011248629,-0.25392488,-0.06895787,0.32780358
334.0,0.45623952,-0.1873144,-0.439341,-0.08124606,0.32374585
335.0,0.12053248,-0.011248629,-0.25392488,-0.06895789,0.32780358
336.0,0.45623952,-0.011248629,-0.422485,0.027514737,0.3596602
337.0,1.1276536,0.5169487,0.4877396,1.0165974,0.6862693
338.0,0.04306163,0.2596218,0.059856243,0.17284133,0.4076491
339.0,-0.21517456,-0.53944594,-0.25392488,-0.48082566,0.19179901
341.0,0.95980006,0.86908025,0.8585718,1.281247,0.7736603
342.0,0.79194653,-0.1873144,-0.06850876,0.25559768,0.4349764
343.0,0.97271186,0.5846663,-0.11129709,0.6894215,0.57823116
344.0,0.95980006,-0.011248629,0.30232346,0.5963566,0.54749984
345.0,0.12053248,0.16481715,-0.439341,-0.07341567,0.32633156
346.0,-0.3830281,-0.3633802,-0.6247571,-0.6537053,0.13471171
347.0,0.04306163,0.42214406,0.059856243,0.25032404,0.433235
348.0,-0.047321036,-0.3633802,-0.017940728,-0.20364298,0.28332865
349.0,-0.11188008,-0.1873144,-0.22021286,-0.2246071,0.27640602
350.0,-0.21517456,0.34088293,-0.25392488,-0.06112747,0.3303893
351.0,-0.3830281,-0.011248629,0.30232346,-0.043838907,0.33609822
352.0,0.12053248,-0.011248629,0.38660353,0.22105557,0.42357013
353.0,-0.7187351,-0.71551174,-0.439341,-0.89323604,0.05561528
354.0,0.79194653,0.05277529,0.38660353,0.5695801,0.53865784
355.0,-0.21517456,0.6930145,0.30232346,0.37194407,0.47339565
356.0,0.12053248,0.16481715,0.3288115,0.22748499,0.4256932
357.0,-0.3830281,-0.3633802,-0.25392488,-0.47691047,0.19309187
358.0,0.04306163,-0.5529895,-0.28245044,-0.37776765,0.22583023
359.0,0.76142776,0.6289906,-0.40225777,0.48854136,0.5118977
360.0,-0.5508816,-0.71551174,-0.25392488,-0.7248142,0.11123056
361.0,-0.047321036,-0.011248629,-0.25392488,-0.1489823,0.30137837
362.0,0.79194653,0.6930145,0.1843314,0.78851444,0.61095303
363.0,-0.047321036,-0.1873144,-0.439341,-0.32131937,0.24447025
364.0,-0.21517456,-0.53944594,-0.06850876,-0.39242825,0.2209891
365.0,0.12053248,-0.011248629,-0.06850876,0.019439563,0.35699368
366.0,-0.3830281,-0.53944594,-0.017940728,-0.4476315,0.20276019
367.0,-0.21517456,-0.3633802,-0.25392488,-0.39688602,0.21951707
368.0,-0.7316469,-0.065422714,-0.06850876,-0.41015348,0.21513598
369.0,-0.5508816,-0.011248629,0.30232346,-0.123863325,0.309673
370.0,1.1276536,0.5169487,0.11690736,0.8398025,0.6278891
371.0,-0.7187351,-0.011248629,-0.06850876,-0.38068262,0.22486767
372.0,0.288386,0.34088293,0.30232346,0.44413814,0.49723512
373.0,-0.5508816,0.16481715,0.1843314,-0.103499964,0.3163973
374.0,-0.88658863,-0.22794497,-0.28245044,-0.66601443,0.13064708
375.0,0.45623952,0.16481715,-0.439341,0.08663322,0.37918195
376.0,-0.047321036,0.6930145,0.6731557,0.6287634,0.558201
377.0,-0.047321036,-0.1873144,0.6731557,0.2090652,0.41961074
378.0,0.45623952,0.34088293,-0.25392488,0.25897026,0.43609008
379.0,-0.88658863,-0.3633802,-0.439341,-0.8053812,0.0846262
380.0,0.45623952,0.16481715,-0.017940728,0.28824922,0.4457584
381.0,0.79194653,0.6930145,-0.22021286,0.6117196,0.5525729
382.0,0.45623952,0.16481715,-0.439341,0.086633205,0.37918195
384.0,0.45623952,0.34088293,0.11690736,0.43576512,0.49447024
385.0,0.12053248,0.34088293,-0.25392488,0.09892141,0.3832397
386.0,0.95980006,0.34088293,0.1843314,0.7006596,0.58194214
387.0,0.12053248,-0.53944594,0.4877396,0.032812934,0.36140972
500.0,-0.047321036,-0.011248629,-0.06850876,-0.06058489,0.33056846
501.0,-0.7187351,-0.53944594,-0.40225777,-0.75965405,0.09972593
502.0,-0.047321036,-0.3633802,-0.22021286,-0.29204044,0.25413856
503.0,-0.21517456,-0.3633802,-0.439341,-0.48528346,0.19032699
504.0,-0.047321036,-0.1873144,0.11690736,-0.056127112,0.3320405
505.0,-0.3830281,-0.3633802,0.58887565,-0.098499574,0.3180485
506.0,0.288386,-0.011248629,-0.017940728,0.12428517,0.39161515
507.0,0.95980006,0.6930145,-0.017940728,0.7801414,0.60818815
508.0,0.45623952,0.5169487,-0.06850876,0.43130735,0.4929982
509.0,0.95980006,0.6930145,-0.439341,0.5785254,0.54161173
510.0,0.12053248,0.86908025,0.38660353,0.6407538,0.5621604
511.0,0.288386,0.34088293,0.79114777,0.64575416,0.5638116
512.0,-0.5508816,0.16481715,-0.25392488,-0.30511597,0.24982084
513.0,-0.3830281,0.16481715,0.38660353,0.064921886,0.3720126
514.0,-0.047321036,0.34088293,0.11690736,0.18175788,0.41059348
515.0,-0.4217635,0.9097108,0.11690736,0.284078,0.44438103
516.0,-0.3830281,-0.3633802,-0.06850876,-0.38851306,0.22228195
517.0,-0.21517456,-0.1873144,-0.25392488,-0.31294638,0.24723512
518.0,-0.21517456,-0.1873144,-0.06850876,-0.22454895,0.2764252
520.0,0.12053248,-0.1873144,-0.6247571,-0.28005004,0.25809795
521.0,0.26440692,-0.111857645,-0.6247571,-0.14002474,0.30433628
522.0,0.79194653,0.34088293,0.6731557,0.86100626,0.6348909
523.0,0.288386,0.34088293,0.38660353,0.46895927,0.5054314
524.0,-0.7187351,-0.3633802,-0.06850876,-0.5485619,0.16943155
525.0,-0.88658863,-0.71551174,-0.017940728,-0.7716445,0.095766544
526.0,0.288386,-0.011248629,0.6731557,0.4530537,0.5001792
527.0,0.288386,-0.53944594,0.38660353,0.049261104,0.36684117
528.0,0.288386,0.16481715,0.4877396,0.4485959,0.49870715
529.0,-0.21517456,-0.1873144,-0.06850876,-0.22454895,0.2764252
530.0,1.1276536,0.34088293,0.4877396,0.9326577,0.6585512
531.0,-0.21517456,0.34088293,0.4877396,0.29246226,0.44714963
532.0,-0.5508816,-0.53944594,0.11690736,-0.46407968,0.19732878
533.0,-0.21517456,0.16481715,0.1843314,0.056548916,0.3692477
534.0,-0.7034757,-0.52344,-0.22021286,-0.6899209,0.122752815
535.0,0.008630137,-0.71551174,-0.13031413,-0.39913443,0.21877462
536.0,-0.047321036,-0.011248629,0.11690736,0.02781256,0.35975856
537.0,-0.047321036,-0.3633802,-0.06850876,-0.22846416,0.27513236
538.0,0.45623952,-0.3633802,0.9934199,0.4784175,0.50855464
539.0,0.95980006,0.5169487,0.30232346,0.8481755,0.630654
540.0,0.288386,-0.1873144,-0.422485,-0.13644935,0.30551693
541.0,0.79194653,0.6930145,0.11690736,0.7636933,0.60275674
542.0,0.62409306,-0.011248629,-0.06850876,0.25951287,0.43626925
543.0,0.12053248,0.16481715,-0.06850876,0.10337919,0.3847117
544.0,0.12053248,0.16481715,-0.439341,-0.07341567,0.32633156
545.0,-0.5508816,-0.011248629,0.38660353,-0.09904216,0.31786934
546.0,-0.88658863,-0.71551174,-0.30690092,-0.9101195,0.050040137
547.0,0.12053248,0.34088293,0.11690736,0.27571627,0.44161984
548.0,-0.21517456,-0.53944594,-0.40225777,-0.5195808,0.17900153
549.0,0.95980006,0.86908025,0.71023893,1.1540946,0.73167276
550.0,0.12053248,-0.1873144,-0.25392488,-0.15289754,0.3000855
551.0,0.12053248,-0.3633802,-0.06850876,-0.14843974,0.30155754
552.0,0.45623952,-0.011248629,0.6731557,0.53307813,0.52660435
553.0,0.45623952,-0.3633802,0.30232346,0.18840402,0.41278812
554.0,0.45623952,-0.53944594,0.4877396,0.15410669,0.40146264
555.0,0.12053248,0.34088293,0.4877396,0.45251107,0.5
556.0,-0.3830281,-0.71551174,-0.25392488,-0.64478976,0.13765576
557.0,-0.21517456,-0.1873144,-0.25392488,-0.31294638,0.24723512
558.0,0.288386,-0.1873144,-0.6247571,-0.20002562,0.28452316
559.0,0.288386,-0.011248629,0.1843314,0.21268259,0.42080525
560.0,0.79194653,0.34088293,-0.06850876,0.50741655,0.51813054
561.0,-0.3830281,-0.33136824,-0.017940728,-0.33526507,0.23986518
562.0,0.04306163,0.09709954,-0.017940728,0.059584636,0.37025014
563.0,0.62409306,1.0131341,-0.13031413,0.6937039,0.5796453
564.0,-0.21517456,0.16481715,0.30232346,0.12012518,0.39024147
565.0,1.1276536,0.34088293,0.11690736,0.7558629,0.600171
566.0,-0.7187351,0.34088293,-0.22021286,-0.27637962,0.25931
567.0,-0.63480836,-0.45141307,0.6466677,-0.24809548,0.26864982
569.0,-0.88658863,0.16481715,0.58887565,-0.08675398,0.32192707
570.0,-0.88658863,0.34088293,-0.422485,-0.44480145,0.20369472
571.0,-0.88658863,-0.3633802,-0.422485,-0.78056,0.09282249
572.0,-0.7187351,-0.011248629,-0.40225777,-0.50783515,0.1828801
