a7,rouge,geo_stratum,jontax,stratum_jon,commune,joncomp2016,salongo_freq,collect_ever,collect_what_1,chef_stratum,comp_stratum,stratum
522.0,0.0,12.0,0.0,9.0,5.0,1.0,0,0,0.0,1.0,1.0,52.0
523.0,0.0,12.0,1.0,9.0,5.0,1.0,2,0,0.0,2.0,1.0,54.0
524.0,0.0,6.0,1.0,7.0,1.0,2.0,4,0,0.0,1.0,1.0,24.0
525.0,0.0,6.0,1.0,7.0,5.0,2.0,4,0,0.0,1.0,1.0,24.0
526.0,0.0,6.0,1.0,8.0,5.0,1.0,4,0,0.0,1.0,1.0,24.0
527.0,0.0,6.0,1.0,7.0,5.0,2.0,4,0,0.0,1.0,1.0,24.0
528.0,0.0,6.0,1.0,8.0,1.0,2.0,4,0,0.0,1.0,1.0,24.0
529.0,0.0,6.0,1.0,8.0,1.0,2.0,4,0,0.0,1.0,1.0,24.0
530.0,0.0,6.0,1.0,9.0,1.0,2.0,4,0,0.0,1.0,1.0,24.0
531.0,0.0,6.0,0.0,9.0,5.0,1.0,4,0,0.0,1.0,1.0,22.0
532.0,0.0,6.0,1.0,7.0,1.0,2.0,4,0,0.0,1.0,1.0,24.0
533.0,0.0,6.0,1.0,9.0,5.0,1.0,4,0,0.0,1.0,1.0,24.0
534.0,0.0,6.0,0.0,8.0,5.0,1.0,4,0,0.0,1.0,1.0,22.0
535.0,0.0,6.0,1.0,7.0,5.0,1.0,4,0,0.0,1.0,1.0,24.0
536.0,0.0,6.0,1.0,9.0,5.0,1.0,2,1,1.0,2.0,1.0,25.0
537.0,0.0,6.0,1.0,9.0,5.0,1.0,2,1,1.0,2.0,1.0,25.0
538.0,0.0,6.0,1.0,8.0,5.0,1.0,2,1,1.0,2.0,1.0,25.0
539.0,0.0,6.0,1.0,8.0,5.0,1.0,4,1,1.0,1.0,1.0,25.0
540.0,0.0,6.0,1.0,8.0,5.0,1.0,2,1,1.0,2.0,1.0,25.0
541.0,0.0,6.0,0.0,9.0,5.0,1.0,4,1,1.0,1.0,1.0,23.0
542.0,0.0,6.0,1.0,8.0,5.0,2.0,2,1,1.0,2.0,1.0,25.0
543.0,0.0,6.0,0.0,8.0,5.0,1.0,2,1,1.0,2.0,1.0,23.0
544.0,0.0,12.0,0.0,9.0,5.0,1.0,2,1,1.0,2.0,1.0,53.0
545.0,0.0,12.0,1.0,9.0,5.0,2.0,2,1,1.0,2.0,1.0,55.0
546.0,0.0,7.0,0.0,7.0,5.0,1.0,4,1,1.0,2.0,1.0,27.0
547.0,0.0,7.0,1.0,8.0,5.0,1.0,4,1,1.0,2.0,1.0,29.0
548.0,0.0,7.0,0.0,8.0,5.0,1.0,4,1,1.0,2.0,1.0,27.0
549.0,0.0,7.0,0.0,8.0,5.0,1.0,4,1,1.0,2.0,1.0,27.0
550.0,0.0,7.0,0.0,9.0,5.0,1.0,4,1,1.0,2.0,1.0,27.0
551.0,0.0,7.0,1.0,9.0,5.0,2.0,4,1,1.0,2.0,2.0,31.0
552.0,0.0,7.0,1.0,7.0,5.0,1.0,3,1,1.0,2.0,1.0,29.0
553.0,0.0,7.0,0.0,8.0,5.0,1.0,4,1,1.0,2.0,1.0,27.0
554.0,0.0,7.0,1.0,9.0,5.0,1.0,4,1,1.0,2.0,1.0,29.0
555.0,0.0,7.0,1.0,8.0,5.0,1.0,4,1,1.0,2.0,1.0,29.0
556.0,0.0,7.0,1.0,7.0,5.0,1.0,3,1,1.0,2.0,1.0,29.0
557.0,0.0,7.0,0.0,7.0,5.0,1.0,3,1,1.0,2.0,1.0,27.0
558.0,0.0,7.0,1.0,8.0,5.0,1.0,4,0,0.0,2.0,1.0,28.0
559.0,0.0,7.0,0.0,7.0,5.0,1.0,4,0,0.0,2.0,1.0,26.0
560.0,0.0,7.0,1.0,9.0,5.0,2.0,4,1,1.0,2.0,2.0,31.0
561.0,0.0,12.0,0.0,10.0,5.0,1.0,4,0,0.0,2.0,1.0,52.0
562.0,0.0,7.0,1.0,7.0,5.0,1.0,4,0,0.0,2.0,1.0,28.0
563.0,0.0,7.0,1.0,9.0,5.0,2.0,4,0,0.0,2.0,2.0,30.0
564.0,0.0,7.0,0.0,8.0,5.0,1.0,4,0,0.0,2.0,1.0,26.0
565.0,0.0,7.0,0.0,8.0,5.0,1.0,2,0,0.0,1.0,1.0,26.0
566.0,0.0,7.0,0.0,12.0,5.0,1.0,1,0,0.0,1.0,1.0,26.0
567.0,0.0,12.0,1.0,10.0,5.0,2.0,4,1,1.0,2.0,1.0,55.0
569.0,0.0,12.0,1.0,10.0,5.0,2.0,4,1,1.0,2.0,1.0,55.0
570.0,0.0,12.0,1.0,11.0,5.0,1.0,4,1,1.0,2.0,1.0,55.0
571.0,0.0,12.0,1.0,11.0,5.0,2.0,4,1,1.0,2.0,1.0,55.0
572.0,0.0,7.0,0.0,12.0,5.0,1.0,3,0,0.0,1.0,1.0,26.0
573.0,0.0,7.0,1.0,12.0,1.0,1.0,3,0,0.0,1.0,1.0,28.0
574.0,0.0,7.0,0.0,11.0,1.0,1.0,4,0,0.0,2.0,1.0,26.0
575.0,0.0,7.0,1.0,10.0,1.0,1.0,4,0,0.0,2.0,1.0,28.0
576.0,0.0,7.0,0.0,12.0,5.0,1.0,4,0,0.0,2.0,1.0,26.0
577.0,0.0,7.0,1.0,11.0,1.0,2.0,4,0,0.0,2.0,2.0,30.0
578.0,0.0,7.0,0.0,11.0,1.0,1.0,4,0,0.0,2.0,1.0,26.0
579.0,0.0,7.0,1.0,12.0,5.0,2.0,4,1,1.0,2.0,2.0,31.0
580.0,0.0,7.0,0.0,11.0,5.0,1.0,4,1,1.0,2.0,1.0,27.0
581.0,0.0,7.0,1.0,12.0,5.0,1.0,4,1,1.0,2.0,1.0,29.0
582.0,0.0,8.0,0.0,11.0,5.0,1.0,4,1,1.0,2.0,1.0,33.0
583.0,0.0,8.0,1.0,11.0,5.0,2.0,4,1,1.0,2.0,1.0,35.0
584.0,0.0,8.0,1.0,12.0,5.0,1.0,4,1,1.0,2.0,1.0,35.0
585.0,0.0,8.0,1.0,10.0,5.0,2.0,4,1,1.0,2.0,1.0,35.0
586.0,0.0,8.0,0.0,10.0,5.0,1.0,4,0,0.0,1.0,1.0,32.0
587.0,1.0,9.0,0.0,12.0,5.0,1.0,4,0,0.0,1.0,1.0,36.0
588.0,0.0,9.0,1.0,12.0,5.0,2.0,4,0,0.0,1.0,2.0,40.0
589.0,0.0,9.0,0.0,10.0,5.0,1.0,4,0,0.0,1.0,1.0,36.0
590.0,1.0,9.0,1.0,12.0,5.0,1.0,4,0,0.0,2.0,1.0,38.0
591.0,1.0,9.0,1.0,12.0,5.0,2.0,2,1,1.0,2.0,2.0,41.0
592.0,0.0,9.0,1.0,12.0,5.0,2.0,2,1,1.0,2.0,2.0,41.0
593.0,0.0,9.0,0.0,11.0,5.0,1.0,8,0,0.0,2.0,1.0,36.0
594.0,0.0,9.0,0.0,12.0,5.0,1.0,8,1,1.0,2.0,1.0,37.0
595.0,0.0,9.0,0.0,10.0,5.0,1.0,2,0,0.0,1.0,1.0,36.0
596.0,0.0,9.0,1.0,12.0,5.0,1.0,2,0,0.0,1.0,1.0,38.0
597.0,0.0,9.0,1.0,10.0,5.0,2.0,8,0,0.0,2.0,2.0,40.0
598.0,0.0,9.0,1.0,10.0,5.0,2.0,2,0,0.0,2.0,2.0,40.0
599.0,0.0,9.0,1.0,11.0,5.0,1.0,1,0,0.0,1.0,1.0,38.0
600.0,0.0,9.0,1.0,10.0,5.0,2.0,1,0,0.0,2.0,2.0,40.0
601.0,0.0,9.0,1.0,10.0,5.0,2.0,1,0,0.0,2.0,2.0,40.0
602.0,0.0,8.0,0.0,10.0,5.0,1.0,4,1,1.0,1.0,1.0,33.0
603.0,0.0,8.0,0.0,12.0,5.0,1.0,4,1,1.0,1.0,1.0,33.0
604.0,0.0,8.0,1.0,11.0,5.0,2.0,4,0,0.0,,1.0,34.0
605.0,0.0,9.0,1.0,11.0,5.0,2.0,4,0,0.0,,2.0,40.0
606.0,0.0,9.0,1.0,20.0,5.0,2.0,4,0,0.0,,2.0,40.0
607.0,0.0,9.0,1.0,19.0,5.0,1.0,2,0,0.0,,1.0,38.0
608.0,0.0,9.0,0.0,19.0,5.0,1.0,3,0,0.0,1.0,1.0,36.0
611.0,0.0,9.0,0.0,21.0,5.0,1.0,4,0,0.0,1.0,1.0,36.0
612.0,1.0,9.0,1.0,20.0,5.0,1.0,4,0,0.0,1.0,1.0,38.0
613.0,0.0,9.0,1.0,20.0,5.0,1.0,4,0,0.0,1.0,1.0,38.0
614.0,0.0,9.0,0.0,19.0,5.0,1.0,2,0,0.0,,1.0,36.0
615.0,0.0,8.0,0.0,20.0,5.0,1.0,4,1,1.0,1.0,1.0,33.0
616.0,0.0,8.0,0.0,21.0,5.0,1.0,4,1,1.0,1.0,1.0,33.0
617.0,0.0,8.0,1.0,21.0,5.0,2.0,4,1,1.0,1.0,1.0,35.0
618.0,0.0,8.0,1.0,19.0,5.0,2.0,4,1,1.0,1.0,1.0,35.0
619.0,0.0,8.0,1.0,21.0,5.0,2.0,4,1,1.0,2.0,1.0,35.0
620.0,0.0,8.0,1.0,21.0,5.0,2.0,4,1,1.0,2.0,1.0,35.0
621.0,0.0,8.0,1.0,19.0,5.0,2.0,0,0,0.0,1.0,1.0,34.0
622.0,0.0,8.0,1.0,19.0,5.0,2.0,5,1,1.0,1.0,1.0,35.0
623.0,0.0,8.0,1.0,20.0,5.0,2.0,2,0,0.0,2.0,1.0,34.0
624.0,0.0,8.0,0.0,11.0,5.0,1.0,4,0,0.0,1.0,1.0,32.0
625.0,0.0,8.0,0.0,20.0,5.0,1.0,2,0,0.0,2.0,1.0,32.0
626.0,0.0,8.0,1.0,11.0,5.0,1.0,4,1,1.0,2.0,1.0,35.0
627.0,0.0,8.0,0.0,10.0,5.0,1.0,0,0,0.0,1.0,1.0,32.0
628.0,0.0,8.0,0.0,11.0,5.0,1.0,1,1,1.0,1.0,1.0,33.0
629.0,0.0,8.0,0.0,7.0,5.0,1.0,1,1,1.0,1.0,1.0,33.0
630.0,0.0,8.0,1.0,8.0,5.0,1.0,4,0,0.0,1.0,1.0,34.0
631.0,0.0,8.0,0.0,17.0,5.0,1.0,0,0,0.0,1.0,1.0,32.0
632.0,0.0,8.0,1.0,17.0,5.0,2.0,3,1,1.0,1.0,1.0,35.0
633.0,0.0,8.0,0.0,9.0,5.0,1.0,2,0,0.0,1.0,1.0,32.0
634.0,0.0,8.0,1.0,18.0,5.0,1.0,4,0,0.0,1.0,1.0,34.0
635.0,0.0,8.0,0.0,18.0,5.0,1.0,3,1,1.0,2.0,1.0,33.0
636.0,0.0,8.0,1.0,17.0,5.0,2.0,2,0,0.0,1.0,1.0,34.0
637.0,0.0,10.0,0.0,17.0,5.0,1.0,2,0,0.0,1.0,1.0,42.0
