a7,tot_compounds,tot_s1_repeats,target_surveys,prob,skip,Ordre,today,DateTerminée,Obs,program,nganza,num_poly
548.0,115,3,5.0,0.04347826,6.0,22.0,2016-11-21,,,0.0,0.0,1.0
549.0,108,4,5.0,0.046296295,5.0,19.0,2016-11-19,,,0.0,0.0,1.0
550.0,176,4,5.0,0.028409092,9.0,4.0,2016-07-09,,,0.0,0.0,1.0
551.0,175,4,5.0,0.028571429,9.0,2.0,2016-05-25,,,1.0,0.0,1.0
552.0,79,4,5.0,0.06329114,4.0,2.0,2016-05-24,,,1.0,0.0,1.0
553.0,157,3,5.0,0.031847134,8.0,26.0,2016-12-07,,,0.0,0.0,1.0
554.0,138,4,5.0,0.036231883,7.0,14.0,2016-09-13,,,1.0,0.0,1.0
555.0,71,5,5.0,0.07042254,4.0,25.0,2016-11-25,,,1.0,0.0,1.0
556.0,51,0,8.0,0.15686275,3.0,27.0,2016-12-07,,,1.0,0.0,1.0
557.0,92,5,5.0,0.054347824,5.0,10.0,2016-08-19,,,0.0,0.0,1.0
558.0,189,2,6.0,0.031746034,9.0,8.0,2016-08-24,,,1.0,0.0,1.0
559.0,107,0,8.0,0.07476635,5.0,3.0,2016-07-27,,,0.0,0.0,1.0
560.0,107,3,5.0,0.046728972,5.0,24.0,2016-11-23,,,1.0,0.0,1.0
561.0,51,2,6.0,0.11764706,3.0,7.0,2016-08-29,,,0.0,0.0,1.0
562.0,56,4,5.0,0.08928572,3.0,15.0,2016-10-19,,,1.0,0.0,1.0
563.0,140,5,5.0,0.035714287,7.0,7.0,2016-06-21,,,1.0,0.0,1.0
564.0,90,2,6.0,0.06666667,5.0,16.0,2016-10-27,,,0.0,0.0,1.0
565.0,76,4,5.0,0.065789476,4.0,16.0,2016-10-18,,,0.0,0.0,1.0
566.0,129,1,7.0,0.054263566,6.0,9.0,2016-10-10,,,0.0,0.0,1.0
567.0,59,3,5.0,0.084745765,3.0,24.0,2016-12-05,,,1.0,0.0,1.0
569.0,50,1,7.0,0.14,3.0,27.0,,,,1.0,0.0,1.0
570.0,80,1,7.0,0.0875,4.0,14.0,2016-10-26,,,1.0,0.0,1.0
571.0,72,2,6.0,0.083333336,4.0,25.0,2016-11-28,,,1.0,0.0,1.0
572.0,113,1,7.0,0.061946902,6.0,5.0,2016-09-14,,,0.0,0.0,1.0
573.0,128,4,5.0,0.0390625,6.0,26.0,2016-12-03,,,1.0,0.0,1.0
574.0,120,3,5.0,0.041666668,6.0,,,,,,0.0,1.0
575.0,68,3,5.0,0.073529415,3.0,19.0,2016-11-18,,,1.0,0.0,1.0
576.0,85,5,5.0,0.05882353,4.0,11.0,2016-08-04,,,0.0,0.0,1.0
577.0,134,3,5.0,0.03731343,7.0,12.0,2016-08-30,,,1.0,0.0,1.0
578.0,96,5,5.0,0.052083332,5.0,9.0,2016-08-06,,,0.0,0.0,1.0
579.0,87,5,5.0,0.057471264,4.0,6.0,2016-07-09,,,1.0,0.0,1.0
580.0,134,5,5.0,0.03731343,7.0,10.0,2016-07-23,,,0.0,0.0,1.0
581.0,114,4,5.0,0.04385965,6.0,1.0,2016-05-21,,,1.0,0.0,1.0
582.0,116,5,5.0,0.04310345,6.0,2.0,2016-06-15,,,0.0,0.0,1.0
583.0,73,4,5.0,0.06849315,4.0,21.0,2016-11-14,,,1.0,0.0,1.0
584.0,157,3,5.0,0.031847134,8.0,12.0,2016-09-15,,,1.0,0.0,1.0
585.0,80,2,6.0,0.075,4.0,27.0,2016-12-06,,,1.0,0.0,1.0
586.0,53,1,7.0,0.13207547,3.0,10.0,2016-10-12,,,0.0,0.0,1.0
587.0,221,4,5.0,0.022624435,11.0,18.0,2016-11-14,,,0.0,0.0,1.0
