a7,treatment,month,chef_code,agent1_code,agent2_code,agent_code,chef_group,order_for_assigning
220.0,4.0,3.0,22088.0,,,51.0,,5.0
227.0,4.0,3.0,22952.0,,,43.0,,2.0
532.0,4.0,3.0,5333.0,,,29.0,,8.0
378.0,4.0,3.0,37890.0,,,5.0,,7.0
318.0,4.0,3.0,3196.0,,,73.0,,3.0
700.0,4.0,3.0,70288.0,,,48.0,,9.0
701.0,4.0,3.0,70288.0,,,48.0,,9.0
311.0,4.0,3.0,31489.0,,,23.0,,4.0
505.0,4.0,3.0,50649.0,,,107.0,,1.0
649.0,4.0,3.0,64944.0,,,52.0,,6.0
639.0,4.0,4.0,639156.0,,,5.0,,7.0
319.0,4.0,4.0,31786.0,,,29.0,,8.0
543.0,4.0,4.0,53594.0,,,43.0,,1.0
598.0,4.0,4.0,59887.0,,,23.0,,4.0
342.0,4.0,4.0,34246.0,,,48.0,,9.0
102.0,4.0,4.0,1025.0,,,107.0,,2.0
570.0,4.0,4.0,5854.0,,,51.0,,3.0
322.0,4.0,4.0,32273.0,,,52.0,,5.0
374.0,4.0,4.0,3762.0,,,73.0,,6.0
669.0,4.0,5.0,66982.0,,,5.0,,1.0
673.0,4.0,5.0,6775.0,,,73.0,,2.0
603.0,4.0,5.0,60383.0,,,48.0,,4.0
699.0,4.0,5.0,70485.0,,,107.0,,3.0
668.0,4.0,5.0,66982.0,,,5.0,,1.0
512.0,4.0,6.0,51289.0,,,5.0,,1.0
112.0,4.0,6.0,11146.0,,,48.0,,4.0
219.0,4.0,6.0,21985.0,,,73.0,,2.0
510.0,4.0,6.0,51289.0,,,5.0,,1.0
654.0,4.0,6.0,6543.0,,,107.0,,3.0
379.0,4.0,7.0,37988.0,,,48.0,,1.0
362.0,4.0,7.0,37745.0,,,107.0,,2.0
