compound1,a7,dist_col1,dist_col2,dist_col_avg,dist_chief,dist_city_center
589077.0,589.0,1.5115733439677408,,1.5115733,,4.768119480573518
101164.0,101.0,8.492257610139514,,8.492258,,5.147076330344277
589094.0,589.0,1.5199956967721389,,1.5199957,,4.533446620499571
587055.0,587.0,1.5277650072847078,,1.527765,,4.341194419357137
676057.0,676.0,6.448786672961292,,6.4487867,,2.2180230042193894
589036.0,589.0,1.4009739452690197,,1.4009739,,4.438647468692302
676006.0,676.0,6.07755993687177,,6.07756,,2.1074090797399494
676067.0,676.0,6.428458320953706,,6.428458,,2.230108728205761
101177.0,101.0,8.416212736310976,,8.416213,,5.101491616943536
676119.0,676.0,6.112637589125773,,6.1126375,,2.0908444941177398
101081.0,101.0,8.614069754602964,,8.61407,,5.406188232240555
589032.0,589.0,1.3827247667998843,,1.3827248,,4.5056457759418675
676078.0,676.0,6.410304179695437,,6.410304,,2.2205345044091507
587136.0,587.0,1.3227692375972988,,1.3227693,,4.230577023802088
101010.0,101.0,8.680515130171255,,8.680515,,5.464899818488008
101109.0,101.0,8.582042878765757,,8.582043,,5.3054929152714045
101104.0,101.0,8.52861595571536,,8.528616,,5.275981910853137
101168.0,101.0,8.493453569772157,,8.493454,,5.172242933602869
676146.0,676.0,6.09347569676462,,6.093476,,2.173133222881189
676036.0,676.0,6.201554595680194,,6.201555,,2.0616875457118704
587077.0,587.0,1.756001248239627,,1.7560012,,4.216095847868775
589008.0,589.0,1.4450945233232422,,1.4450945,,4.76194288833887
101023.0,101.0,8.811751995679682,,8.811752,,5.546681912447322
101115.0,101.0,8.546042538720071,,8.546042,,5.247683188182678
320070.0,320.0,9.577441405664636,,9.577441,,4.659186110188389
320102.0,320.0,9.714754602021387,,9.714755,,4.7962035936372365
676008.0,676.0,6.108022998809059,,6.108023,,2.0914280741743445
587178.0,587.0,1.3949324659224926,,1.3949325,,4.248417596357007
101011.0,101.0,8.707197637217684,,8.707197,,5.47717211327395
320059.0,320.0,9.563150880175657,,9.56315,,4.645883041687788
587047.0,587.0,1.4502449767534513,,1.450245,,4.368918070832442
320019.0,320.0,9.644117249046005,,9.644117,,4.732114634694676
676019.0,676.0,6.217023945795416,,6.217024,,2.019483192672443
101182.0,101.0,8.45701663505953,,8.457017,,5.102967217403982
587134.0,587.0,1.331533562293867,,1.3315336,,4.243941934409715
587004.0,587.0,1.6734601322426883,,1.6734601,,4.294774339469419
587014.0,587.0,1.4656997709932686,,1.4656998,,4.384922232352634
320073.0,320.0,9.577832119653579,,9.577832,,4.658363994664681
